bowler,total_matches,total_balls,total_runs_conceded,total_wickets,total_maidens,dot_balls,overs_bowled,bowling_average,economy_rate,strike_rate,dot_percentage,fours_conceded,sixes_conceded,pp_wickets,pp_economy,middle_wickets,middle_economy,death_wickets,death_economy,recent_runs,recent_balls,recent_wickets,recent_economy
P Sahu,3,58,84,2,14,16,9.67,42.0,8.69,29.0,27.59,3.0,5.0,0.0,0.0,2.0,8.69,0.0,0.0,43,30,1,8.6
P Suyal,5,107,154,2,36,48,17.83,77.0,8.64,53.5,44.86,16.0,5.0,1.0,8.58,1.0,7.45,0.0,11.54,45,30,0,9.0
PC Valthaty,9,140,190,7,41,45,23.33,27.14,8.14,20.0,32.14,13.0,7.0,0.0,0.0,5.0,8.08,2.0,8.77,35,30,1,7.0
PD Collingwood,6,90,101,5,24,25,15.0,20.2,6.73,18.0,27.78,4.0,3.0,0.0,0.0,2.0,7.15,3.0,4.94,38,30,1,7.6
PH Solanki,2,36,39,2,11,12,6.0,19.5,6.5,18.0,33.33,1.0,2.0,0.0,0.0,1.0,6.0,1.0,7.5,33,30,2,6.6000000000000005
PJ Cummins,54,1277,1846,59,439,514,212.83,31.29,8.67,21.64,40.25,174.0,73.0,20.0,8.26,23.0,8.02,16.0,10.48,42,30,2,8.399999999999999
PJ Sangwan,35,770,1035,38,266,325,128.33,27.24,8.06,20.26,42.21,97.0,33.0,10.0,7.85,23.0,7.71,5.0,10.69,39,30,1,7.800000000000001
PM Sarvesh Kumar,2,31,42,1,11,12,5.17,42.0,8.13,31.0,38.71,7.0,0.0,0.0,6.86,1.0,8.5,0.0,0.0,41,30,1,8.2
PP Chawla,180,3664,4901,192,1244,1317,610.67,25.53,8.03,19.08,35.94,361.0,210.0,20.0,7.85,145.0,7.89,27.0,9.94,38,30,4,7.6
PP Ojha,84,1822,2256,91,612,695,303.67,24.79,7.43,20.02,38.14,139.0,88.0,6.0,8.22,68.0,7.15,17.0,8.9,57,30,1,11.399999999999999
PV Tambe,25,559,684,23,176,200,93.17,29.74,7.34,24.3,35.78,48.0,21.0,2.0,8.42,20.0,6.94,1.0,11.4,45,30,1,9.0
PVD Chameera,13,297,442,11,122,141,49.5,40.18,8.93,27.0,47.47,51.0,18.0,7.0,8.47,1.0,7.24,3.0,11.91,84,30,0,16.799999999999997
PWH de Silva,26,557,758,36,202,214,92.83,21.06,8.17,15.47,38.42,43.0,49.0,4.0,9.9,24.0,8.02,8.0,7.38,61,30,2,12.2
Pankaj Singh,17,311,472,11,111,125,51.83,42.91,9.11,28.27,40.19,52.0,17.0,8.0,7.55,2.0,9.46,1.0,13.6,41,30,2,8.2
Parvez Rasool,8,152,207,3,45,48,25.33,69.0,8.17,50.67,31.58,14.0,10.0,1.0,8.5,2.0,8.02,0.0,0.0,41,30,0,8.2
R Ashwin,186,4219,4917,178,1391,1577,703.17,27.62,6.99,23.7,37.38,287.0,184.0,47.0,6.72,112.0,6.92,19.0,8.7,45,30,2,9.0
R Bhatia,72,1301,1635,70,345,388,216.83,23.36,7.54,18.59,29.82,109.0,49.0,0.0,12.5,52.0,7.37,18.0,8.59,47,30,0,9.4
R Dhawan,34,650,874,26,192,233,108.33,33.62,8.07,25.0,35.85,68.0,26.0,5.0,8.29,17.0,7.51,4.0,10.7,55,30,0,11.0
R Goyal,1,24,34,0,6,7,4.0,34.0,8.5,24.0,29.17,1.0,2.0,0.0,0.0,0.0,8.5,0.0,0.0,34,24,0,8.5
R McLaren,17,354,532,13,108,136,59.0,40.92,9.02,27.23,38.42,64.0,11.0,4.0,8.49,3.0,8.67,6.0,10.66,78,30,3,15.600000000000001
R Ninan,2,36,65,3,8,8,6.0,21.67,10.83,12.0,22.22,3.0,5.0,0.0,0.0,3.0,10.83,0.0,0.0,55,30,2,11.0
R Parag,21,181,307,5,36,42,30.17,61.4,10.18,36.2,23.2,19.0,17.0,1.0,10.0,4.0,9.96,0.0,15.43,50,30,1,10.0
R Powell,2,21,35,1,4,7,3.5,35.0,10.0,21.0,33.33,2.0,2.0,0.0,0.0,1.0,9.0,0.0,12.0,35,21,1,10.0
R Rampaul,11,253,298,15,116,131,42.17,19.87,7.07,16.87,51.78,24.0,13.0,9.0,5.69,2.0,7.26,4.0,11.72,35,30,2,7.0
R Ravindra,2,12,7,0,5,5,2.0,7.0,3.5,12.0,41.67,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,7,12,0,3.5
R Sai Kishore,10,191,259,13,56,62,31.83,19.92,8.14,14.69,32.46,13.0,15.0,1.0,9.5,10.0,7.05,2.0,16.42,65,30,2,13.0
R Sanjay Yadav,1,14,23,0,6,8,2.33,23.0,9.86,14.0,57.14,3.0,1.0,0.0,8.0,0.0,11.25,0.0,0.0,23,14,0,9.857142857142858
R Sathish,12,120,202,4,26,32,20.0,50.5,10.1,30.0,26.67,17.0,9.0,0.0,0.0,3.0,9.08,1.0,18.46,64,30,0,12.8
R Sharma,8,162,235,7,49,54,27.0,33.57,8.7,23.14,33.33,11.0,16.0,0.0,3.0,7.0,8.54,0.0,13.5,62,30,0,12.400000000000002
R Shepherd,8,133,260,6,38,48,22.17,43.33,11.73,22.17,36.09,22.0,17.0,2.0,8.88,2.0,11.32,2.0,17.1,60,30,0,12.0
R Shukla,7,130,217,7,38,53,21.67,31.0,10.02,18.57,40.77,21.0,9.0,4.0,8.62,1.0,9.96,2.0,13.64,69,30,1,13.799999999999999
R Tewatia,51,848,1103,36,254,282,141.33,30.64,7.8,23.56,33.25,54.0,60.0,0.0,9.0,32.0,7.84,4.0,6.46,39,30,0,7.800000000000001
R Vinay Kumar,85,1777,2542,98,609,672,296.17,25.94,8.58,18.13,37.82,239.0,91.0,26.0,7.51,28.0,8.09,44.0,10.6,75,30,2,15.0
RA Jadeja,167,3066,3851,143,960,1036,511.0,26.93,7.54,21.44,33.79,224.0,163.0,4.0,7.92,118.0,7.41,21.0,8.72,56,30,0,11.2
RA Shaikh,1,6,11,0,1,1,1.0,11.0,11.0,6.0,16.67,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11,6,0,11.0
RD Chahar,75,1651,2106,74,558,601,275.17,28.46,7.65,22.31,36.4,136.0,94.0,3.0,7.81,63.0,7.57,8.0,8.84,44,30,1,8.799999999999999
RE van der Merwe,19,412,478,20,131,150,68.67,23.9,6.96,20.6,36.41,24.0,16.0,4.0,9.47,13.0,6.33,3.0,9.06,26,30,1,5.2
RG More,2,37,63,1,4,7,6.17,63.0,10.22,37.0,18.92,5.0,1.0,0.0,15.0,1.0,9.3,0.0,9.27,54,30,0,10.8
RG Sharma,32,349,462,16,88,104,58.17,28.88,7.94,21.81,29.8,29.0,14.0,2.0,7.7,12.0,7.74,2.0,10.06,42,30,1,8.399999999999999
RJ Gleeson,2,51,72,1,19,24,8.5,72.0,8.47,51.0,47.06,7.0,3.0,1.0,9.16,0.0,7.58,0.0,8.77,48,30,0,9.600000000000001
RJ Harris,34,788,1001,43,328,379,131.33,23.28,7.62,18.33,48.1,111.0,25.0,14.0,6.4,6.0,7.88,23.0,9.68,41,30,0,8.2
RJ Peterson,4,48,70,3,21,21,8.0,23.33,8.75,16.0,43.75,5.0,5.0,0.0,5.0,3.0,8.0,0.0,20.0,54,30,2,10.8
